description,price,rooms,area,location,floor
 ETİMESGUT SÜVARİ MAH.6+1 ULTRA LÜKS YAPILI TERASLI SATILIK DAİRE,2.899.000 TL,weekend6+1,texture240 m2,Ankara - Etimesgut - Süvari Mh.,layers3. Kat
 SYM GAYRİMENKUL'DEN HAFTANIN KAÇIRILMAYACAK YAPILI 2+1 UYGUN DAİ...,1.266.000 TL,weekend2+1,texture90 m2,Ankara - Sincan - Plevne Mh.,layersBahçe katı
 SİNCAN PLEVNE MH FULL YAPILI CADDE ÜZERİ GÜNEY CEPHE FIRSAT DAİR...,1.266.000 TL,weekend2+1,texture105 m2,Ankara - Sincan - Plevne Mh.,layersBahçe katı
SİNAN CADDESİ ÜZERİ 3+1 125 M2 2.KAT KİLERLİ LÜKS YAPILI YILIN SO...,3.050.000 TL,weekend3+1,texture130 m2,Ankara - Çankaya - Naci Çakır Mh.,layers2. Kat
 ÇANKAYA DOĞUŞ MAH.'NDE 3+1 ARA KATTA SATILIK DAİRE,2.800.000 TL,weekend3+1,texture110 m2,Ankara - Çankaya - Doğuş Mh.,layers3. Kat
 ▄KALE▄HAFTANIN FIRSATI! SULTAN FATİH CADDE 50M MASRAFSIZ 3+1SİTE,2.369.000 TL,weekend3.5+1,texture140 m2,Ankara - Mamak - Cengizhan Mh.,layers6. Kat
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮ MALAZGİRT CADDESİ ÜZERİNDE 3+1 GENİŞ DAİRE,2.150.000 TL,weekend3+1,texture125 m2,Ankara - Altındağ - Güneşevler Mh.,layers1. Kat
 ZAFER ÇELİK EMLAK'TAN GENİŞ OTURUMA HAZIR 2+1 MASRAFSIZ DAİRE,1.689.000 TL,weekend2+1,texture105 m2,Ankara - Keçiören - Yayla Mh.,layersDüz Giriş (Zemin)
NATA VEGA KONUTLARI EŞYALI PEYZAJ VE ŞEHİR MANZARALI DAİRE,7.300.000 TL,weekend3+1,texture152 m2,Ankara - Mamak - Akşemsettin Mh.,layers19. Kat
SANCAK MAHALLESİ MERKEZİ KONUMDA 4+1 SATILIK DAİRE,4.990.000 TL,weekend4+1,texture180 m2,Ankara - Çankaya - Sancak Mh.,layers2. Kat
"NATA VEGA KONUTLARI'NDA BAKIMLI, MASRAFSIZ 3+1 SATILIK DAİRE",5.299.000 TL,weekend3+1,texture160 m2,Ankara - Mamak - Akşemsettin Mh.,layersDüz Giriş (Zemin)
"ÇANKAYA, KEKLİKPINARI, WATERFALL CİTY'DE SATILIK 4+1 LÜKS DAİRE",7.500.000 TL,weekend4+1,texture200 m2,Ankara - Çankaya - Keklik Pınarı Mh.,layers6. Kat
AYDINLIKEVLER MERKEZ'DE KATTA 3+1 SATILIK DAİRE - TANER EMLAK,2.445.000 TL,weekend3+1,texture105 m2,Ankara - Altındağ - Aydınlıkevler Mh.,layers1. Kat
ANKARA SİNCAN PINARBAŞI MAHALLESİ ŞOK FİYAT,1.089.000 TL,weekend3+1,texture125 m2,Ankara - Sincan - Pınarbaşı Mh.,layersBahçe katı
ALTINDAĞ BAŞPINAR DA MASRAFSIZ KATTA 3+1 İSKANLI SÜPERLÜX DAİRE,1.995.000 TL,weekend3+1,texture140 m2,Ankara - Altındağ - Başpınar Mh.,layers1. Kat
KABİL VE LİZBON CAD YAKINI YOKUŞSUZ 3+1 130M2 KAT KONUMNDA MANTL,2.690.000 TL,weekend3+1,texture130 m2,Ankara - Çankaya - Ata Mh.,layersKot 1 (-1). Kat
"KOÇ'DAN ; 2+1 + 2 BANYO + KİLER'Lİ , LÜX YAPILI , KOT-1'DE , ARA ...",2.050.000 TL,weekend2+1,texture110 m2,Ankara - Çankaya - Harbiye Mh.,layersKot 1 (-1). Kat
"KOÇ'DAN ; ASANSÖRLÜ , 3+1, KOMBİLİ , ASANSÖRLÜ, ÇOK İYİ LOKASYOND...",2.750.000 TL,weekend3+1,texture125 m2,Ankara - Çankaya - Harbiye Mh.,layers2. Kat
"KOÇ'DAN ; BAHÇE ÇIKIŞLI , 2+1, S.LÜX YAPILI, SOKULLU ANA CADDE VE...",1.750.000 TL,weekend2+1,texture105 m2,Ankara - Çankaya - Sokullu Mehmet Paşa Mh.,layersKot 1 (-1). Kat
 YAPRACIK ODTÜ BLOKLARINDA SATILIK ARA KAT DUBLEKS 4+1 DAİRE,3.200.000 TL,weekend4+1,texture170 m2,Ankara - Etimesgut - Yukarıyurtçu Mh.,layers1. Kat
 SYM'DEN MALAZGİRT'TE ARA KATTA TASARIMIYLA DİKKAT ÇEKEN 3+1 DAİR...,2.179.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Malazgirt Mh.,layers2. Kat
 GÖLBAŞI KARŞIYAKA MAHALLESİNDE SATILIK 3+1 DAİRE,2.850.000 TL,weekend3+1,texture140 m2,Ankara - Gölbaşı - Karşıyaka Mh.,layers2. Kat
 ATATÜRK MAH DE MERKEZDE MANTOLAMALI ÖN CEPHE 3+1 DAİRE,1.549.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Atatürk Mh.,layers4. Kat
 SYM GAYRİMENKUL'DEN MAREŞAL ÇAKMAK'TA 3+1 ARA KATTA YAPILI DAİRE,1.885.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers3. Kat
SİNCAN OSMANLI MAH 3+1 SİTE İÇİNDE BAĞIMSIZ KATTA ÖN CEPHE DAİRE,1.649.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Osmanlı Mh.,layers4. Kat
 SYM GAYRİMENKUL'DEN ARA KATTA BAĞIMSIZ FERAH LÜX YAPILI 3+1!!!,1.875.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Plevne Mh.,layers1. Kat
 SYM GAYRİMENKUL'DEN KATTA CADDE CEPHELİ ULTRA LÜX YAPILI 3+1!!!,1.859.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Akşemsettin Mh.,layers4. Kat
 SYM GAYRİMENKUL'DEN ARA KATTA EBEVEYN BANYOLU ULTRA  LÜX YAPILI ...,2.089.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Ertuğrulgazi Mh.,layers3. Kat
 SYM GAYRİMENKUL'DEN ARA KATTA ŞIK TASARIMIYLA DİKKAT ÇEKEN 3+1!!...,2.049.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers2. Kat
 SYM GAYRİMENKUL'DEN BAĞIMSIZ 3+1 HAFTANIN KAÇIRILMAYACAK DAİRESİ...,1.269.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layersBahçe katı
FIRSAT!!!! FİYAT DÜŞTÜ  PURSAKLARIN GÖZBEBEĞİ SİTEDE BU FİYATA KA...,4.100.000 TL,weekend4+1,texture200 m2,Ankara - Pursaklar - Tevfik İleri Mh.,layers13. Kat
Ankara Çankaya Gop Satılık 3+1 Eşyalı Daire,8.500.000 TL,weekend3+1,texture150 m2,Ankara - Çankaya - Kazım Özalp Mh.,layers1. Kat
Özçelik Grup Emlaktan Altındağın Parlayan Yıldızı Altınşehir TOKİ...,1.975.000 TL,weekend3+1,texture140 m2,Ankara - Altındağ - Feridun Çelik Mh.,layers2. Kat
YILDIRIM EMLAK’TAN 8.CADDE’DE 5.KAT MANZARALI KUPON DAİRE,2.139.000 TL,weekend3+1,texture135 m2,Ankara - Altındağ - Feridun Çelik Mh.,layers5. Kat
YCL DEN BAĞLAR CADDESİNDE SATILIK 3+1 DAİRE,2.000.000 TL,weekend3+1,texture110 m2,Ankara - Çankaya - Seyranbağları Mh.,layers3. Kat
YENİKENT 29 EKİM MAHALLESİ SATILIK OTURUMA HAZIR 4+1 DAİRELER,2.100.000 TL,weekend4+1,texture130 m2,Ankara - Sincan - 29 Ekim Mh.,layersDüz Giriş (Zemin)
 AKŞEMSETTİN MAHALLESİNDE KATTA 3+1 YAPILI BAĞIMSIZ DAİRE,1.479.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Akşemsettin Mh.,layers3. Kat
GOLD EMLAK'TAN  MERKEZİ LOKASYONDA SATILIK 3+1  FIRSAT DAİRE!!!!,2.490.000 TL,weekend3+1,texture130 m2,Ankara - Keçiören - Sancaktepe Mh.,layers1. Kat
 OSMANGAZİDE BÖLGESİNE GÖRE TERTEMİZ DAİRE FIRSATI!!,2.449.000 TL,weekend3+1,texture145 m2,Ankara - Keçiören - Ufuktepe Mh.,layers4. Kat
İLKADIMDAN ÇİFT MUTFAK ÇİFT BANYO KAPALI TERASLI 6+1 MANZARALI,4.500.000 TL,weekend6+1,texture250 m2,Ankara - Yenimahalle - Burç Mh.,layers5. Kat
İLKADIMDAN AVCILAR MAH. SİTE İÇİ TELEFERİĞE YÜRÜME MESAFESİNDE,3.300.000 TL,weekend3+1,texture140 m2,Ankara - Yenimahalle - Avcılar Mh.,layers6. Kat
ANKARA GOLBAŞI KARŞIYAKA MALLESİNDE SIFIR 1+1 DAİRE,2.400.000 TL,weekend1+1,texture60 m2,Ankara - Gölbaşı - Karşıyaka Mh.,layers4. Kat
2023 YILIN FIRSATI 5+1 300 M2 ÇİFT MTFKLI GENİŞ K.TERASLI O.MANZ,4.299.000 TL,weekend5+1,texture300 m2,Ankara - Çankaya - Karapınar Mh.,layers4. Kat
GOLD EMLAKTAN CADDE ÜSTÜ ETLİK ŞEHİR VE GÜLHANE HASTANESİ YAKINI ...,1.515.000 TL,weekend3+1,texture115 m2,Ankara - Keçiören - Ayvalı Mh.,layersKot 1 (-1). Kat
YILBAŞINA ÖZEL 2+1 YATIRIMA UYGUN KELEPİR SATILIK DAİRE,880.000 TL,weekend2+1,texture75 m2,Ankara - Sincan - Ulubatlı Hasan Mh.,layers5. Kat
GÖLBAŞI ŞAFAK MAHALLESİNDE SATILIK 3+1 YÜKSEK GİRİŞ DAİRE,2.375.000 TL,weekend3+1,texture110 m2,Ankara - Gölbaşı - Şafak Mh.,layersYüksek giriş
 PLEVNE MAHALLESİNDE FULL YAPILI 3+1 SATILIK DAİRE,1.785.000 TL,weekend3+1,texture135 m2,Ankara - Sincan - Plevne Mh.,layers2. Kat
 AYDINLIKREVLER'DE LÜKS 1 YILLIK 3+1 DUBLEKS DAİRE - TANER EMLAK,5.350.000 TL,weekend3+1,texture138 m2,Ankara - Altındağ - Aydınlıkevler Mh.,layers3. Kat
 GOLD EMLAK'TAN SEVAL CADDESİ YAKIN SİTE İÇİ ÖNÜ AÇIK GENİŞ YAPIL...,3.635.000 TL,weekend3+1,texture160 m2,Ankara - Yenimahalle - Barıştepe Mh.,layers5. Kat
BK GAYRİMENKULDEN YEŞİLOVA MAH. SATILIK ARA KAT DAİRE,2.850.000 TL,weekend3+1,texture140 m2,Ankara - Etimesgut - Yeşilova Mh.,layers2. Kat
YILBAŞINA ÖZEL 2+1 YATIRIMA UYGUN KELEPİR SATILIK DAİRE,880.000 TL,weekend2+1,texture75 m2,Ankara - Sincan - Ulubatlı Hasan Mh.,layers5. Kat
GÖLBAŞI ŞAFAK MAHALLESİNDE SATILIK 3+1 YÜKSEK GİRİŞ DAİRE,2.375.000 TL,weekend3+1,texture110 m2,Ankara - Gölbaşı - Şafak Mh.,layersYüksek giriş
